"date","cases"
2020-01-23,1
2020-01-24,0
2020-01-25,1
2020-01-26,0
2020-01-27,3
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,2
2020-02-02,1
2020-02-03,0
2020-02-04,3
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,1
2020-02-13,0
2020-02-14,1
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,2
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,1
2020-02-29,0
2020-03-01,8
2020-03-02,6
2020-03-03,23
2020-03-04,25
2020-03-05,20
2020-03-06,66
2020-03-07,47
2020-03-08,64
2020-03-09,147
2020-03-10,225
2020-03-11,290
2020-03-12,278
2020-03-13,414
2020-03-14,267
2020-03-15,338
2020-03-16,1237
2020-03-17,755
2020-03-18,2797
2020-03-19,3419
2020-03-20,4777
2020-03-21,3528
2020-03-22,5836
2020-03-23,8821
2020-03-24,10934
2020-03-25,10115
2020-03-26,13987
2020-03-27,16916
2020-03-28,17965
2020-03-29,19332
2020-03-30,18251
2020-03-31,22635
2020-04-01,22562
2020-04-02,27043
2020-04-03,26135
2020-04-04,34864
2020-04-05,30683
2020-04-06,26065
2020-04-07,43438
2020-04-08,21597
2020-04-09,31534
2020-04-10,31705
2020-04-11,33251
2020-04-12,33288
2020-04-13,29145
2020-04-14,24156
2020-04-15,26385
2020-04-16,27158
2020-04-17,29164
2020-04-18,29002
2020-04-19,29916
2020-04-20,25995
2020-04-21,29468
2020-04-22,26490
2020-04-23,25858
2020-04-24,37144
2020-04-25,29873
2020-04-26,33161
2020-04-27,29256
2020-04-28,23371
2020-04-29,23901
2020-04-30,25512
2020-05-01,31787
2020-05-02,30369
2020-05-03,29794
2020-05-04,29763
2020-05-05,19138
2020-05-06,22303
2020-05-07,23366
2020-05-08,30861
2020-05-09,25996
2020-05-10,26660
2020-05-11,23792
2020-05-12,18106
2020-05-13,21467
2020-05-14,20869
2020-05-15,27191
2020-05-16,22977
2020-05-17,31967
2020-05-18,13284
2020-05-19,24481
2020-05-20,23405
2020-05-21,22860
2020-05-22,20522
2020-05-23,24268
2020-05-24,26229
2020-05-25,15342
2020-05-26,24958
2020-05-27,16429
2020-05-28,19680
2020-05-29,21304
2020-05-30,18123
2020-05-31,23553
2020-06-01,26177
2020-06-02,14790
2020-06-03,24955
2020-06-04,14676
2020-06-05,20555
2020-06-06,29034
2020-06-07,29214
2020-06-08,17919
2020-06-09,17598
2020-06-10,17376
2020-06-11,20486
2020-06-12,21744
2020-06-13,22317
2020-06-14,25468
2020-06-15,21957
2020-06-16,18577
2020-06-17,28392
2020-06-18,22834
2020-06-19,27828
2020-06-20,32218
2020-06-21,32411
2020-06-22,27616
2020-06-23,26657
2020-06-24,34313
2020-06-25,37667
2020-06-26,40588
2020-06-27,44602
2020-06-28,44703
2020-06-29,41390
2020-06-30,35664
2020-07-01,43644
2020-07-02,54357
2020-07-03,52730
2020-07-04,57718
2020-07-05,52228
2020-07-06,44361
2020-07-07,46329
2020-07-08,50304
2020-07-09,64771
2020-07-10,59260
2020-07-11,66281
2020-07-12,62918
2020-07-13,60469
2020-07-14,58858
2020-07-15,60971
2020-07-16,67404
2020-07-17,72045
2020-07-18,74710
2020-07-19,67574
2020-07-20,63201
2020-07-21,57777
2020-07-22,63028
2020-07-23,70106
2020-07-24,72219
2020-07-25,74818
2020-07-26,64582
2020-07-27,61795
2020-07-28,54448
2020-07-29,59862
2020-07-30,65935
2020-07-31,68042
2020-08-01,68605
2020-08-02,58947
2020-08-03,47576
2020-08-04,49716
2020-08-05,49988
2020-08-06,53685
2020-08-07,55836
2020-08-08,62042
2020-08-09,54590
2020-08-10,48690
2020-08-11,40522
2020-08-12,55540
2020-08-13,56307
2020-08-14,52799
2020-08-15,56729
2020-08-16,54686
